ï»¿Title,Copyright Year,Contributors,Publisher,Description,License,ISBN13
Precalculus,2015,"Thomas Tradler, NYC College of Technology - Author
Holly Carley, NYC College of Technology - Author",CUNY Academic Works,"These are notes for a course in precalculus, as it is taught at New York City College of Technology - CUNY (where it is offered under the course number MAT 1375). Our approach is calculator based. For this, we will use the currently standard TI-84 calculator, and in particular, many of the examples will be explained and solved with it. However, we want to point out that there are also many other calculators that are suitable for the purpose of this course and many of these alternatives have similar functionalities as the calculator that we have chosen to use. An introduction to the TI-84 calculator together with the most common applications needed for this course is provided in appendix A. In the future we may expand on this by providing introductions to other calculators or computer algebra systems. This course in precalculus has the overarching theme of â€œfunctions.â€� This means that many of the often more algebraic topics studied in the previous courses are revisited under this new function theoretic point of view. However, in order to keep this text as self contained as possible we always recall all results that are necessary to follow the core of the course even if we assume that the student has familiarity with the formula or topic at hand. After a first introduction to the abstract notion of a function, we study polynomials, rational functions, exponential functions, logarithmic functions, and trigonometric functions with the function viewpoint. Throughout, we will always place particular importance to the corresponding graph of the discussed function which will be analyzed with the help of the TI-84 calculator as mentioned above. These are in fact the topics of the first four (of the five) parts of this precalculus course. In the fifth and last part of the book, we deviate from the above theme and collect more algebraically oriented topics that will be needed in calculus or other advanced mathematics courses or even other science courses. This part includes a discussion of the algebra of complex numbers (in particular complex numbers in polar form), the 2-dimensional real vector space R 2 sequences and series with focus on the arithmetic and geometric series (which are again examples of functions, though this is not emphasized), and finally the generalized binomial theorem.",Attribution-NonCommercial-ShareAlike,9781942341215
Nursing Care at the End of Life: What Every Clinician Should Know,2015,"Susan E. Lowey, SUNY, Brockport - Author",Open SUNY,"Nursing Care at the End of Life: What Every Clinician Should Know should be an essential component of basic educational preparation for the professional registered nurse student. Recent studies show that only one in four nurses feel confident in caring for dying patients and their families and less than 2% of overall content in nursing textbooks is related to end-of-life care, despite the tremendous growth in palliative and end-of-life care programs across the country. The purpose of this textbook is to provide an indepth look at death and dying in this country, including the vital role of the nurse in assisting patients and families along the journey towards the end of life. There is an emphasis throughout the book on the simple, yet understated value of effective interpersonal communication between the patient and clinician. The text provides a basic foundation of understanding death and dying, including a brief historical examination of some main conceptual models associated with how patients cope with impending loss. An overview of illness trajectories and models of care, such as hospice and palliative care are discussed. Lastly, the latest evidence-based approaches for pain and symptom management, ethical concerns, cultural considerations, care at the time of death, and grief/bereavement are examined. The goal of this text is to foster the necessary skills for nurses to provide compassionate care to individuals who are nearing the end of life and their families. Every chapter contains a â€œWhat You Should Knowâ€� section which highlights and reinforces foundational concepts.",Attribution-NonCommercial-ShareAlike,9781937963040
Writing In College: From Competence to Excellence,2016,"Amy Guptill, SUNY Brockport - Author",Open SUNY,"Writing in College is designed for students who have largely mastered high-school level conventions of formal academic writing and are now moving beyond the five-paragraph essay to more advanced engagement with text. It is well suited to composition courses or first-year seminars and valuable as a supplemental or recommended text in other writing-intensive classes. It provides a friendly, down-to-earth introduction to professors' goals and expectations, demystifying the norms of the academy and how they shape college writing assignments. Each of the nine chapters can be read separately, and each includes suggested exercises to bring the main messages to life. Students will find in Writing in College a warm invitation to join the academic community as novice scholars and to approach writing as a meaningful medium of thought and communication. With concise discussions, clear multidisciplinary examples, and empathy for the challenges of student life, Guptill conveys a welcoming tone. In addition, each chapter includes Student Voices: peer-to-peer wisdom from real SUNY Brockport students about their strategies for and experiences with college writing. While there are many affordable writing guides available, most focus only on sentence-level issues or, conversely, a broad introduction to making the transition. Writing In College, in contrast, provides both a coherent frame for approaching writing assignments and indispensable advice for effective organization and expression.",Attribution-NonCommercial-ShareAlike,9781937963019
FranÃ§ais interactif,2011,"Karen Kelton, University of Texas, Austin - Author
Nancy Guilloteau, University of Texas, Austin - Author
Carl Blyth, University of Texas, Austin - Author",COERLL,"This textbook of classroom activities and homework accompanies FranÃ§ais interactif. FranÃ§ais interactif,the web-based French program developed and in use at the University of Texas since 2004, and its companion site, Tex's French Grammar (2000)are open access sites, free and open multimedia resources, which require neither password nor fees. FranÃ§ais interactif, used increasingly by students, teachers, and institutions throughout the world, includes 320 videos (American students in France, native French interviews, vocabulary and culture presentation videos) recorded vocabulary lists, phonetic lessons, online grammar lessons (600 pages) with self-correcting exercises and audio dialogues, online grammar tools (verb conjugation reference, verb practice), and diagnostic grammar tests.",Attribution,9781937963026
Deutsch im Blick,2013,"Zsuzsanna Abrams, University of Texas, Austin - Author",COERLL,"This textbook is newly revised (Mai 2013) and includes all 10 chapters of Deutsch im Blick. It accompanies http://coerll.utexas.edu/dib/, the web-based first-year German program developed and in use at the University of Texas since 2008, and its companion site, Grimm Grammar http://coerll.utexas.edu/gg/. Deutsch im Blick is an open access site with free and open multimedia resources, which requires neither password nor fees. Deutsch im Blick has been funded and created by Liberal Arts Instructional Technology Services at the University of Texas, and is currently supported by COERLL, the Center for Open Educational Resources and Language Learning UT-Austin, and the U.S. Department of Education Fund for the Improvement of Post-Secondary Education (FIPSE Grant P116B070251 & P116Y090057) as an example of the open access initiative.",Attribution-NonCommercial-NoDerivs,9781937963057
YorÃ¹bÃ¡ YÃ© Mi,2014,"Fehintola Mosadomi, University of Texas, Austin - Author",COERLL,"The YorÃ¹bÃ¡ YÃ© Mi textbook, combined with an open access, multi-media website at http://www.coerll.utexas.edu/yemi, is an interactive, communicative, introductory YorÃ¹bÃ¡ program. It provides college/university students with basic listening, speaking, reading, and writing skills of language learning in YorÃ¹bÃ¡. It exposes the learner not only to YorÃ¹bÃ¡ language in meaningful situations but also to the culture of the YorÃ¹bÃ¡-speaking people of South-western Nigeria. It contains effective techniques for teaching and learning YorÃ¹bÃ¡ including tones, and is userfriendly in its approach.",Attribution-NonCommercial-NoDerivs,9781938168024
Conversa Brasileira,2013,"Orlando R. Kelm, University of Texas, Austin - Author",COERLL,"Conversa Brasileira is an online open access site that contains a series of 35 video scenarios in which Brazilians talk about their daily activities, everything from hobbies to shopping, and from traffic jams to soccer games. These materials are designed to help intermediate- and advanced-level learners of Portuguese to analyze the way that Brazilians really talk and improve in their own proficiency and fluency. This textbook provides a hardcopy of all of the online materials, including the dialog transcriptions, English translations, and lesson notes that link to the original website.",Attribution,9781329996779
Calculus Volume 1,2016,"Gilbert Strang, MIT - Author
Edwin Herman, University of Wisconsin-Stevens Point - Author",OpenStax,"Calculus is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. Volume 1 covers functions, limits, derivatives, and integration. OpenStax College has compiled many resources for faculty and students, from faculty-only content to interactive homework and study guides.",Attribution-NonCommercial-ShareAlike,9781329996694
Beginning Japanese for Professionals: Book 1,2015,"Emiko Konomi, Portland State University - Author",Portland State University Library,"This textbook is designed for beginning learners who want to learn basic Japanese for the purpose of living and working in Japan. Unlike textbooks written primarily for students, whose content largely centers on student life, this book focuses more on social and professional life beyond school. As a beginning level textbook, this book includes many elementary grammar patterns (Japanese Language Proficiency Test Levels 5 and 4), but the vocabulary and situations are selected specifically for working adults. Explanations are kept concise so as to only cover key points. The main focus is on oral communication and the accompanying audio is to be used extensively. This textbook can be used for self-study, as part of an online course, or as a traditional college course.",Attribution-NonCommercial,
FROM MSA to CA: A Beginner's Guide to Transitioning to Colloquial Arabic,2015,"Lina Gomaa, Portland State University - Author",Portland State University Library,"This book is for students who have studied Modern Standard Arabic (MSA) for one year or more and would like to learn colloquial Arabic basics using their knowledge of MSA. It aims at transitioning learners from Novice Mid level to Intermediate Low through presenting situations useful for living in an Arab country. The book has several features including hyperlinks, practice dialogues with open answers, cultural tips, and more. To access the audio files to accompany this book, please visithttp://pdxscholar.library.pdx.edu/pdxopen/8/",Attribution-NonCommercial,
Applied Probability,2009,"Paul Pfeiffer, Rice University - Author",OpenStax CNX,"This is a ""first course"" in the sense that it presumes no previous course in probability. The mathematical prerequisites are ordinary calculus and the elements of matrix algebra. A few standard series and integrals are used, and double integrals are evaluated as iterated integrals. The reader who can evaluate simple integrals can learn quickly from the examples how to deal with the iterated integrals used in the theory of expectation and conditional expectation. Appendix B provides a convenient compendium of mathematical facts used frequently in this work. And the symbolic toolbox, implementing MAPLE, may be used to evaluate integrals, if desired. In addition to an introduction to the essential features of basic probability in terms of a precise mathematical model, the work describes and employs user defined MATLAB procedures and functions (which we refer to as m-programs, or simply programs) to solve many important problems in basic probability. This should make the work useful as a stand-alone exposition as well as a supplement to any of several current textbooks. Most of the programs developed here were written in earlier versions of MATLAB, but have been revised slightly to make them quite compatible with MATLAB 7. In a few cases, alternate implementations are available in the Statistics Toolbox, but are implemented here directly from the basic MATLAB program, so that students need only that program (and the symbolic mathematics toolbox, if they desire its aid in evaluating integrals). Since machine methods require precise formulation of problems in appropriate mathematical form, it is necessary to provide some supplementary analytical material, principally the so-called minterm analysis. This material is not only important for computational purposes, but is also useful in displaying some of the structure of the relationships among events.",Attribution,
Understanding Basic Music Theory,2013,Catherine Schmidt-Jones - Author,OpenStax CNX,"Although it is significantly expanded from ""Introduction to Music Theory"", this book still covers only the bare essentials of music theory. Music is a very large subject, and the advanced theory that students will want to pursue after mastering the basics will vary greatly. A trumpet player interested in jazz, a vocalist interested in early music, a pianist interested in classical composition, and a guitarist interested in world music, will all want to delve into very different facets of music theory; although, interestingly, if they all become very well-versed in their chosen fields, they will still end up very capable of understanding each other and cooperating in musical endeavors. The final section does include a few challenges that are generally not considered ""beginner level"" musicianship, but are very useful in just about every field and genre of music.",Attribution,
Elementary Algebra,2010,"Wade Ellis, West Valley Community College  - Author
Denny Burzynski, College of Southern Nevada - Author",OpenStax CNX,"Elementary Algebra is a work text that covers the traditional topics studied in a modern elementary algebra course. Use of this book will help the student develop the insight and intuition necessary to master algebraic techniques and manipulative skills.Elementary Algebra is a work text that covers the traditional topics studied in a modern elementary algebra course. It is intended for students who (1) have no exposure to elementary algebra, (2) have previously had an unpleasant experience with elementary algebra, or (3) need to review algebraic concepts and techniques.",Attribution,9781937963064
Fast Fourier Transforms,2012,"C. Sidney Burrus, Rice University - Author",OpenStax CNX,"This book focuses on the discrete Fourier transform (DFT), discrete convolution, and, particularly, the fast algorithms to calculate them. These topics have been at the center of digital signal processing since its beginning, and new results in hardware, theory and applications continue to keep them important and exciting. This book uses an index map, a polynomial decomposition, an operator factorization, and a conversion to a filter to develop a very general and efficient description of fast algorithms to calculate the discrete Fourier transform (DFT). The work of Winograd is outlined, chapters by Selesnick, Pueschel, and Johnson are included, and computer programs are provided.",Attribution,9781942341284
Le LittÃ©raire dans le quotidien,2015,"Joanna Gay Luks, Cornell University - Author",COERLL,"Le LittÃ©raire dans le quotidien is an open textbook for use in French courses. The Literary in the Everyday represents a new pedagogical approach to reading and writing at the lower levels and is applicable to all languages. Teachers of foreign languages besides French can read about the approach in the Teacher's Guide. Go to Google Drive for individual chapters. Additionally, the Foreign Languages & The Literary in the Everyday (FLLITE) Project, a joint initiative of COERLL and CERCLL, two national foreign language resource centers, offers open resources for professional development in the publication of CC licensed FLLITE lessons in any language. Go to the FLLITE website for the lesson archive.",Attribution,9781942341253
Teaching Autoethnography: Personal Writing in the Classroom,2016,"Melissa Tombro, The Fashion Institute of Technology - Author",Open SUNY,"Teaching Autoethnography: Personal Writing in the Classroom is dedicated to the practice of immersive ethnographic and autoethnographic writing that encourages authors to participate in the communities about which they write. This book draws not only on critical qualitative inquiry methods such as interview and observation, but also on theories and sensibilities from creative writing and performance studies, which encourage self-reflection and narrative composition. Concepts from qualitative inquiry studies, which examine everyday life, are combined with approaches to the creation of character and scene to help writers develop engaging narratives that examine chosen subcultures and the author's position in relation to her research subjects. The book brings together a brief history of first-person qualitative research and writing from the past forty years, examining the evolution of nonfiction and qualitative approaches in relation to the personal essay. A selection of recent student writing in the genre as well as reflective student essays on the experience of conducting research in the classroom is presented in the context of exercises for coursework and beyond. Also explored in detail are guidelines for interviewing and identifying subjects and techniques for creating informed sketches and images that engage the reader. This book provides approaches anyone can use to explore their communities and write about them first-hand. The methods presented can be used for a single assignment in a larger course or to guide an entire semester through many levels and varieties of informed personal writing.",Attribution-NonCommercial-ShareAlike,9781942341222
"Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy",2016,"Guillermo C. Jimenez - Author
Elizabeth Pulos - Author",Open SUNY,"This textbook provides an innovative, internationally oriented approach to the teaching of corporate social responsibility (CSR) and business ethics. Drawing on case studies involving companies and countries around the world, the textbook explores the social, ethical, and business dynamics underlying CSR in such areas as global warming, genetically modified organisms (GMO) in food production, free trade and fair trade, anti-sweatshop and living-wage movements, organic foods and textiles, ethical marketing practices and codes, corporate speech and lobbying, and social enterprise. The book is designed to encourage students and instructors to challenge their own assumptions and prejudices by stimulating a class debate based on each case study.",Attribution-NonCommercial-ShareAlike,
Steps to Success: Crossing the Bridge Between Literacy Research and Practice,2016,"Kristen A. Munger, SUNY Oswego - Editor",Open SUNY,"Steps to Success: Crossing the Bridge Between Literacy Research and Practice introduces instructional strategies linked to the most current research-supported practices in the field of literacy. The book includes chapters related to scientifically-based literacy research, early literacy development, literacy assessment, digital age influences on children's literature, literacy development in underserved student groups, secondary literacy instructional strategies, literacy and modern language, and critical discourse analysis. Chapters are written by authors with expertise in both college teaching and the delivery of research-supported literacy practices in schools. The book features detailed explanations of a wide variety of literacy strategies that can be implemented by both beginning and expert practitioners. Readers will gain knowledge about topics frequently covered in college literacy courses, along with guided practice for applying this knowledge in their future or current classrooms. The book's success-oriented framework helps guide educators toward improving their own practices and is designed to foster the literacy development of students of all ages.",Attribution-NonCommercial-ShareAlike,
The Intelligent Troglodyteâ€™s Guide to Platoâ€™s Republic,2016,"Douglas Drabkin, Fort Hays State University - Author",Independent,"The Republic of Plato is one of the classic gateway texts into the study and practice of philosophy, and it is just the sort of book that has been able to arrest and redirect lives. How it has been able to do this, and whether or not it will be able to do this in your own case, is something you can only discover for yourself. The present guidebook aims to help a person get fairly deep, fairly quickly, into the project. It divides the dialogue into 96 sections and provides commentary on each section as well as questions for reflection and exploration. It is organized with a table of contents and is stitched together with a system of navigating bookmarks. Links to external sites such as the Perseus Classical Library are used throughout. This book is suitable for college courses or independent study.",Attribution,9780870710247
The Changing Story: digital stories that participate in transforming teaching & learning,2016,"Linda Buturian, University of Minnesota - Author",University of Minnesota Libraries Publishing,"The Changing Story gives you assignments, resources, and examples to use in your teaching and learning. It will also help you think of ways digital stories can be used in your teaching, and help students harness the power of visual storytelling.",Attribution,
Living with Earthquakes in the Pacific Northwest,2004,"Robert S. Yeats, Oregon State University - Author",Open Oregon State,"In this expanded new edition of Living with Earthquakes, Robert Yeats, a leading authority on earthquakes in California and the Pacific Northwest, describes the threat posed by the Cascadia Subduction Zone, a great earthquake fault which runs for hundreds of miles offshore from British Columbia to northern California. New research reveals subtle movements on the deepest part of this fault every 14-15 months â€” building up strain toward the next major earthquake. Combining cutting-edge research with practical safety information, Living with Earthquakes: â€¢ introduces new information about the danger from faults beneath major Northwest cities: the Seattle Fault, Tacoma Fault, and Portland Hills Faultâ€¢ explores such topics as earthquake forecasting, catastrophe insurance, tsunamis, soil liquefaction, and seismic waves in Northwest lakes caused by Alaskan earthquakesâ€¢ reviews earthquake preparedness and disaster response in the aftermath of the 2001 Nisqually earthquake, the worst natural disaster in Washington's historyâ€¢ suggests actions that citizens can take to protect their families and homesAn essential guide for anyone interested in understanding earthquake science or in preparing for the next earthquake, this book is also a call to action. Vivid descriptions of recent disasters â€” including the great tsunami that swept down the Northwest coast in 1964, the 1993 Oregon earthquakes, and the 2001 Nisqually earthquake â€” underscore the urgent need for better earthquake planning and awareness.",Attribution-NonCommercial-ShareAlike,
Physical Geology,2015,"Steven Earle, Vancouver Island University - Author",BCcampus,"Physical Geology is a comprehensive introductory text on the physical aspects of geology, including rocks and minerals, plate tectonics, earthquakes, volcanoes, glaciation, groundwater, streams, coasts, mass wasting, climate change, planetary geology and much more. It has a strong emphasis on examples from western Canada, especially British Columbia, and also includes a chapter devoted to the geological history of western Canada. The book is a collaboration of faculty from Earth Science departments at Universities and Colleges across British Columbia and elsewhere.",Attribution,
Sustaining the Commons,2016,"John M. Anderies, Arizona State University - Author
Marco A. Janssen, Arizona State University - Author",Independent,"This textbook discusses the main framework, concepts and applications of the work of Elinor Ostrom and her colleagues for an undergraduate audience. We began teaching a course on collective and the commons in 2007 at Arizona State University. Initially we made use of Ostrom's classic book â€œGoverning the Commonsâ€�, but this book was not written for an undergraduate audience. Moreover, many new insights have been developed since the 1990 publication of â€œGoverning the Commonsâ€�. Therefore we decided to write our own textbook, which we have been using since the Spring of 2012. In this book you will learn about institutionsâ€“the rules and norms that guide the interactions among us. Those rules and norms can be found from traffic rules, rules in sports, regulations on when and where alcohol can be consumed, to constitutional rules that define who can become president of the United States of America. Rules and norms guide us to cooperative outcomes of so-called collective action problems. If we rely on voluntary contributions only to get anything done, this may not lead to the best results. But research also shows that coercion of people to comply to strict rules do not necessary lead to good outcomes. What combination of sticks and carrots is needed to be successful to solve collective action problems such as sustaining the commons? The book is based on the work of Elinor Ostrom and her colleagues. Ostrom is best known as the 2009 co-recipient of the Nobel Prize in Economics â€œfor her analysis of economic governance, especially the commonsâ€�. Elinor Ostrom was a professor at Indiana University since the mid 1960s, and a part-time research professor at Arizona State University since 2006. She was active in research and teaching until her death at the age of 78 on June 12, 2012.",Attribution-NonCommercial-NoDerivs,
A Primer on Sustainable Business,2012,,Saylor Foundation,"As you read A Primer on Sustainable Business, we challenge you to not think of sustainability as a program, an initiative, or an activity. Rather, sustainability is a mind-set, a philosophy, and worldview. Throughout each chapter, you are challenged to alter the way you view your job, the workplace, the business, and the world. Whether you are an executive, an entrepreneur, or an employee, A Primer on Sustainable Business will help you understand the big picture of what it means to be a sustainable business and will give you the information you need to begin your journey toward sustainability.",Attribution-NonCommercial-ShareAlike,
The Business Ethics Workshop,2012,"James Brusseau, Pace University - Author",Saylor Foundation,"Ethics is about determining value; it's deciding what's worth doing and what doesn't matter so much.Business ethics is the way we decide what kind of career to pursue, what choices we make on the job,which companies we want to work with, and what kind of economic world we want to live in and thenleave behind for those coming after. There are no perfect answers to these questions, but there's adifference between thinking them through and winging it. The Business Ethics Workshop provides aframework for identifying, analyzing, and resolving ethical dilemmas encountered through working life.",Attribution-NonCommercial-ShareAlike,9781946135070
Business Law and the Legal Environment,2012,"Don Mayer, University of Miami - Author
Daniel M. Warner, Western Washington University - Author
George J. Siedel, University of Michigan Business School - Author",Saylor Foundation,"Our goal is to provide students with a textbook that is up to date and comprehensive in its coverage of legal and regulatory issuesâ€”and organized to permit instructors to tailor the materials to their particular approach. This book engages students by relating law to everyday events with which they are already familiar (or with which they are familiarizing themselves in other business courses) and by its clear, concise, and readable style. (An earlier business law text by authors Lieberman and Siedel was hailed â€œthe best written text in a very crowded field.â€�) This textbook provides context and essential concepts across the entire range of legal issues with which managers and business executives must grapple. The text provides the vocabulary and legal acumen necessary for businesspeople to talk in an educated way to their customers, employees, suppliers, government officialsâ€”and to their own lawyers.",Attribution-NonCommercial-ShareAlike,9781453343623
Communication in the Real World: An Introduction to Communication Studies,2016,,University of Minnesota Libraries Publishing,"Communication in the Real World: An Introduction to Communication Studies overviews the time-tested conceptual foundations of the field, while incorporating the latest research and cutting-edge applications of these basics. Each chapter will include timely, concrete, and real-life examples of communication concepts in action. A key feature of this book is the integration of content regarding diversity and organizational communication in each chapter through examples and/or discrete sub-sections. Discussions of diversity are not relegated to feature boxes. Also integrated into the content are examples that are inclusive in terms of race, gender, sexuality, ability, age, marital status, religion, and other diverse identity characteristics.",Attribution-NonCommercial-ShareAlike,
Growth and Competitive Strategy in 3 Circles,2012,"Joe E. Urbany, University of Notre Dame - Author
James H. Davis - Author",Saylor Foundation,"The 3-Circle model was developed over the past several years, initially in strategic planning for auniversity graduate program and in an executive MBA course designed to integrate the concepts ofmarketing and competitive strategy. Over the course of time, the 3-Circle model has beensuccessfully used by hundreds of organizations throughout the world in establishing and growing their market positions. Many of the case examples in this book demonstrating applications of the 3-Circle model applications are from executives who have attended executive education training at theUniversity of Notre Dame. The development of competitive strategy is difficult because there are a lot of moving parts, as well ashundreds of frameworks, that might potentially guide the effort. Executives appreciate how the 3-Circle model simplifies the integration of customer, firm, and competitor analysis to generate growthstrategies. It also provides a common language and process for understanding and explaining competitive advantage and for identifying profitable growth strategy.",Attribution-NonCommercial-ShareAlike,9781453343265
International Economics: Theory and Policy,2012,"Steve Suranovic, George Washington University - Author",Saylor Foundation,"This text strives to reach a median between these two approaches. First, I believe that students need to learn the theory and models to understand how economists understand the world. I also think these ideas are accessible to most students if they are explained thoroughly. This text presents numerous models in some detail, not by employing advanced mathematics, but rather by walking students through a detailed description of how a model's assumptions influence its conclusions. Second, and perhaps more important, students must learn how the models connect with the real world. I believe that theory is done primarily to guide policy. We do positive economics to help answer the normative questions; for example, what should a country do about its trade policy or its exchange rate policy? The results from models give us insights that help us answer these questions. Thus this text strives to explain why each model is interesting by connecting its results to some aspect of a current policy issue. A prime example is found in Chapter 11 ""Evaluating the Controversy between Free Trade and Protectionism"" of this book, which addresses the age-old question of whether countries should choose free trade or some type of selected protection. The chapter demonstrates how the results of the various models presented throughout the text contribute to our understanding of this long-standing debate.",Attribution-NonCommercial-ShareAlike,9781453344163
"Introduction to Contracts, Sales and Product Liability",2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"This textbook provides context and essential concepts across the entire range of legal issues with whichmanagers and business executives must grapple. The text provides the vocabulary and legal acumennecessary for businesspeople to talk in an educated way to their customers, employees, suppliers,government officialsâ€”and to their own lawyers. Traditional publishers often create confusion among customers in the text selection process by offering ahuge array of publications. Once a text is selected, customers might still have to customize the text to meettheir needs. For example, publishers usually offer books that include either case summaries or excerptedcases, but some instructors prefer to combine case summaries with a few excerpted cases so that studentscan experience reading original material. Likewise, the manner in which most conventional textsincorporate video is cumbersome because the videos are contained in a separate library, which makesaccess more complicating for instructors and students.",Attribution-NonCommercial-ShareAlike,9781453344170
"Introduction to the Law of Property, Estate Planning and Insurance",2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"Introduction to the Law of Property, Estate Planning and Insurance is an up-to-date textbook that covers legal issues that students must understand relating to real estate (an especially important business asset), as well as estate planning and insurance. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style. After introductory chapters covering the legal environment of business, Introduction to the Law of Property, Estate Planning and Insurance provides students with context and essential legal concepts relating to property rights and duties, estate planning, insurance, secured transactions, mortgages, and related topics. The text provides the vocabulary and legal savvy they will need when working with these concepts, which are critical to business planning and success.",Attribution-NonCommercial-ShareAlike,9781453343302
Law for Entrepreneurs,2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"Law for Entrepreneurs is an up-to-date textbook that covers the broad spectrum of legal issues that entrepreneurs must understand when starting and running a business. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style. After introductory chapters covering the legal environment of business, Law for Entrepreneurs provides students with context and essential legal concepts relating to contracts, product liability, intellectual property, insurance, agency law, partnerships, corporations, and employment law. The text provides the vocabulary and legal savvy that entrepreneurs need to talk in an educated way to customers, suppliers, employees, creditors, shareholders, government regulators and other stakeholders â€” and to their own lawyers.",Attribution-NonCommercial-ShareAlike,9781453343258
Law of Commercial Transactions,2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"Law of Commercial Transactions is an up-to-date textbook that covers legal issues that students who engage in commercial transactions must understand. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style. After introductory chapters covering the legal environment of business, Law of Commercial Transactions provides students with context and essential legal concepts relating to key commercial transactions topics: contracts, sales, commercial paper, debtors and creditors. The text provides the vocabulary and legal savvy students will need to talk in an educated way to customers, suppliers, creditors, government regulators and other stakeholders â€” and to their own lawyers.",Attribution-NonCommercial-ShareAlike,9781453343289
Legal Aspects of Corporate Management and Finance,2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"Legal Aspects of Corporate Management and Finance is an up-to-date textbook that covers key legal issues relating to corporate management and finance. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style. After introductory chapters covering the legal environment of business, Legal Aspects of Corporate Management and Finance provides students with context and essential legal concepts relating to contracts, agency law, partnerships, corporations, commercial paper, debtors and creditors. The text provides the vocabulary and legal savvy students will need to talk in an educated way to customers, suppliers, employees, creditors, shareholders, government regulators and other stakeholders â€” and to their own lawyers.",Attribution-NonCommercial-ShareAlike,9781942341208
Legal Aspects of Marketing and Sales,2012,"Don Mayer, University of Denver - Author
Daniel Warner, Western Washington University - Author
George J. Siedel, University of Michigan - Author
Jethro K. Lieberman, New York Law School - Author",Saylor Foundation,"Legal Aspects of Marketing and Sales is an up-to-date textbook that covers legal issues that students who will work in marketing or with marketing managers must understand. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style. After introductory chapters covering the legal environment of business, Legal Aspects of Marketing and Sales provides students with context and essential legal concepts relating to contracts, sales, intellectual property, antitrust law and unfair trade practices. The text provides the vocabulary and legal savvy they will need to talk in an educated way to customers, suppliers, shareholders, government regulators and other stakeholders â€” and to their own lawyers.",Attribution-NonCommercial-ShareAlike,
Music and the Child,2016,"Natalie Sarrazin, College at Brockport, SUNY - Author",Open SUNY,"Children are inherently musical. They respond to music and learn through music. Music expresses children's identity and heritage, teaches them to belong to a culture, and develops their cognitive well-being and inner self worth. As professional instructors, childcare workers, or students looking forward to a career working with children, we should continuously search for ways to tap into children's natural reservoir of enthusiasm for singing, moving and experimenting with instruments. But how, you might ask? What music is appropriate for the children I'm working with? How can music help inspire a well-rounded child? How do I reach and teach children musically? Most importantly perhaps, how can I incorporate music into a curriculum that marginalizes the arts? This book explores a holistic, artistic, and integrated approach to understanding the developmental connections between music and children. This book guides professionals to work through music, harnessing the processes that underlie music learning, and outlining developmentally appropriate methods to understand the role of music in children's lives through play, games, creativity, and movement. Additionally, the book explores ways of applying music-making to benefit the whole child, i.e., socially, emotionally, physically, cognitively, and linguistically.",Attribution-NonCommercial-ShareAlike,9781491929568
The Process of Research Writing,2007,"Steven D. Krause, Eastern Michigan University - Author",Independent,"The title of this book is The Process of Research Writing, and in the nutshell, that is what the book is about. A lot of times, instructors and students tend to separate â€œthinking,â€� â€œresearching,â€� and â€œwritingâ€� into different categories that aren't necessarily very well connected. First you think, then you research, and then you write.The reality is though that the possibilities and process of research writing are more complicated and much richer than that. We think about what it is we want to research and write about, but at the same time, we learn what to think based on our research and our writing. The goal of this book is to guide you through this process of research writing by emphasizing a series of exercises that touch on different and related parts of the research process.",Attribution-NonCommercial-ShareAlike,9781491907337
